row,col,state_id,action,action_name,next_row,next_col,next_state_id,label,next_label
2,2,14,3,right,2,3,15,safe,safe
2,3,15,0,up,1,3,9,safe,safe
2,3,15,1,down,3,3,21,safe,safe
2,3,15,2,left,2,2,14,safe,safe
2,3,15,3,right,2,4,16,safe,danger
2,4,16,0,up,1,4,10,danger,danger
2,4,16,1,down,3,4,22,danger,safe
2,4,16,2,left,2,3,15,danger,safe
2,4,16,3,right,2,5,17,danger,safe
2,5,17,0,up,1,5,11,safe,safe
2,5,17,1,down,3,5,23,safe,safe
2,5,17,2,left,2,4,16,safe,danger
2,5,17,3,right,2,5,17,safe,safe
3,0,18,0,up,2,0,12,safe,safe
3,0,18,1,down,4,0,24,safe,safe
3,0,18,2,left,3,0,18,safe,safe
3,0,18,3,right,3,0,18,safe,safe
3,2,20,0,up,2,2,14,safe,safe
3,2,20,1,down,4,2,26,safe,safe
3,2,20,2,left,3,2,20,safe,safe
3,2,20,3,right,3,3,21,safe,safe
3,3,21,0,up,2,3,15,safe,safe
3,3,21,1,down,3,3,21,safe,safe
3,3,21,2,left,3,2,20,safe,safe
3,3,21,3,right,3,4,22,safe,safe
3,4,22,0,up,2,4,16,safe,danger
3,4,22,1,down,4,4,28,safe,safe
3,4,22,2,left,3,3,21,safe,safe
3,4,22,3,right,3,5,23,safe,safe
3,5,23,0,up,2,5,17,safe,safe
3,5,23,1,down,4,5,29,safe,safe
3,5,23,2,left,3,4,22,safe,safe
3,5,23,3,right,3,5,23,safe,safe
4,0,24,0,up,3,0,18,safe,safe
4,0,24,1,down,5,0,30,safe,safe
4,0,24,2,left,4,0,24,safe,safe
4,0,24,3,right,4,1,25,safe,safe
4,1,25,0,up,4,1,25,safe,safe
4,1,25,1,down,5,1,31,safe,safe
4,1,25,2,left,4,0,24,safe,safe
4,1,25,3,right,4,2,26,safe,safe
4,2,26,0,up,3,2,20,safe,safe
4,2,26,1,down,5,2,32,safe,safe
4,2,26,2,left,4,1,25,safe,safe
4,2,26,3,right,4,2,26,safe,safe
4,4,28,0,up,3,4,22,safe,safe
4,4,28,1,down,5,4,34,safe,safe
4,4,28,2,left,4,4,28,safe,safe
4,4,28,3,right,4,5,29,safe,safe
4,5,29,0,up,3,5,23,safe,safe
4,5,29,1,down,5,5,35,safe,goal
4,5,29,2,left,4,4,28,safe,safe
4,5,29,3,right,4,5,29,safe,safe
5,0,30,0,up,4,0,24,safe,safe
5,0,30,1,down,5,0,30,safe,safe
5,0,30,2,left,5,0,30,safe,safe
5,0,30,3,right,5,1,31,safe,safe
5,1,31,0,up,4,1,25,safe,safe
5,1,31,1,down,5,1,31,safe,safe
5,1,31,2,left,5,0,30,safe,safe
5,1,31,3,right,5,2,32,safe,safe
5,2,32,0,up,4,2,26,safe,safe
5,2,32,1,down,5,2,32,safe,safe
5,2,32,2,left,5,1,31,safe,safe
5,2,32,3,right,5,3,33,safe,safe
5,3,33,0,up,5,3,33,safe,safe
5,3,33,1,down,5,3,33,safe,safe
5,3,33,2,left,5,2,32,safe,safe
5,3,33,3,right,5,4,34,safe,safe
5,4,34,0,up,4,4,28,safe,safe
5,4,34,1,down,5,4,34,safe,safe
5,4,34,2,left,5,3,33,safe,safe
5,4,34,3,right,5,5,35,safe,goal
5,5,35,0,up,4,5,29,goal,safe
5,5,35,1,down,5,5,35,goal,goal
5,5,35,2,left,5,4,34,goal,safe
5,5,35,3,right,5,5,35,goal,goal
